lm_name,dataset,method,wer,cer,predictions_csv
librispeech_3gram,librispeech_test_other,beam_lm,11.00,3.75,outputs/task9_compare_lms/librispeech_3gram_librispeech_test_other_beam_lm.csv
librispeech_3gram,librispeech_test_other,beam_lm_rescore,11.00,3.75,outputs/task9_compare_lms/librispeech_3gram_librispeech_test_other_beam_lm_rescore.csv
librispeech_3gram,earnings22_test,beam_lm,55.33,25.42,outputs/task9_compare_lms/librispeech_3gram_earnings22_test_beam_lm.csv
librispeech_3gram,earnings22_test,beam_lm_rescore,55.00,25.41,outputs/task9_compare_lms/librispeech_3gram_earnings22_test_beam_lm_rescore.csv
financial_3gram,librispeech_test_other,beam_lm,11.00,3.76,outputs/task9_compare_lms/financial_3gram_librispeech_test_other_beam_lm.csv
financial_3gram,librispeech_test_other,beam_lm_rescore,11.07,3.78,outputs/task9_compare_lms/financial_3gram_librispeech_test_other_beam_lm_rescore.csv
financial_3gram,earnings22_test,beam_lm,52.59,25.09,outputs/task9_compare_lms/financial_3gram_earnings22_test_beam_lm.csv
financial_3gram,earnings22_test,beam_lm_rescore,53.89,25.22,outputs/task9_compare_lms/financial_3gram_earnings22_test_beam_lm_rescore.csv
